key,value
S_SPECS,anchor=unit|S1_beta_med=1.0|S1_beta_p5=1.0|S1_beta_p95=1.0
S_SIGDEF,z0=rolling390|z1=session_anchored|warmup=30|open_win=30|vr=inherited_from_nb02
S_FLAG_MYM191212,sr=-0.0815|gap=-0.0108|thr=0.0531|mad=0.00358|ratio=7.55|gapshaped=0|why=gap_immaterial
S_OPENSHARE0,share=0.2429|n_events=9542
S_OPENSHARE1,share=0.0|n_events=7859
S_GATE,PASS|both legs adjudicated non-gap-shaped
S_ZCOVER,z0_defined=676168|z1_defined=624001|bars=676560|z0_first_bar_events=682
S_KEYS,68
S_HL1,z1_b=-0.019198|z1_hl=35.8|n=622257
S_ALIGN,bars=676560|sessions=1744|medbars=390|first=2019-06-03|last=2026-04-24|dropA=7740|dropB=0
S_PAIR,MES_MYM|markets=cme/cbot|anchor=unit|rolls=index|nb=06
S_HOLIDAYS,n=96|memorial21=1|span=2018-2027
S_BUILD_MYM,rolls=28|flags=1|med_ovl=390|nonmedian=0
S_BUILD_MES,rolls=28|flags=0|med_ovl=390|nonmedian=0
D020_GATE1_REPRODUCTION,PASS|60 cells reproduced exactly
D020_GATE2_IMPLEMENTATION,PASS|open share 24.3% (Z0) -> 0.0% (Z1)
