window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
H,S-HALF,S2,1.5,15,0.018,0.029,2.17,0.479,27105.0
H,S-HALF,S2,1.5,30,-0.008,0.011,0.59,0.484,26007.0
H,S-HALF,S2,1.5,60,-0.02,0.029,1.03,0.485,24027.0
H,S-HALF,S2,1.5,120,-0.034,0.072,1.71,0.482,20278.0
H,S-HALF,S2,2.0,5,0.011,0.015,1.67,0.453,17090.0
H,S-HALF,S2,2.0,15,0.004,0.034,2.11,0.478,16758.0
H,S-HALF,S2,2.0,30,-0.006,0.043,1.79,0.485,16260.0
H,S-HALF,S2,2.0,60,-0.005,0.113,3.06,0.486,15397.0
H,S-HALF,S2,2.0,120,-0.036,0.181,3.6,0.481,13630.0
H,S-HALF,S2,2.5,5,0.006,0.024,1.67,0.453,8715.0
H,S-HALF,S2,2.5,15,0.006,0.065,2.94,0.48,8607.0
H,S-HALF,S2,2.5,30,-0.012,0.088,3.0,0.479,8420.0
H,S-HALF,S2,2.5,60,-0.051,0.114,2.64,0.484,8182.0
H,S-HALF,S2,2.5,120,-0.11,0.097,1.76,0.479,7468.0
H,S-HALF,S2,3.0,5,0.013,0.031,1.68,0.472,4272.0
H,S-HALF,S2,3.0,15,0.025,0.097,3.62,0.495,4241.0
H,S-HALF,S2,3.0,30,0.003,0.127,3.52,0.481,4190.0
H,S-HALF,S2,3.0,60,-0.022,0.154,3.07,0.495,4148.0
H,S-HALF,S2,3.0,120,-0.112,0.114,1.66,0.481,3898.0
H,S-HALF,S3,1.5,5,0.015,0.029,3.08,0.443,22546.0
H,S-HALF,S3,1.5,15,0.007,0.045,2.61,0.473,21981.0
H,S-HALF,S3,1.5,30,-0.007,0.04,1.52,0.481,21151.0
H,S-HALF,S3,1.5,60,-0.023,0.082,2.06,0.486,19765.0
H,S-HALF,S3,1.5,120,-0.07,0.142,2.37,0.48,17132.0
H,S-HALF,S3,2.0,5,0.01,0.047,3.69,0.448,14800.0
H,S-HALF,S3,2.0,15,-0.001,0.079,3.8,0.47,14567.0
H,S-HALF,S3,2.0,30,-0.005,0.113,3.65,0.482,14223.0
H,S-HALF,S3,2.0,60,-0.038,0.216,4.57,0.477,13716.0
H,S-HALF,S3,2.0,120,-0.071,0.349,5.86,0.478,12499.0
H,S-HALF,S3,2.5,5,0.015,0.068,4.7,0.459,8209.0
H,S-HALF,S3,2.5,15,-0.003,0.115,4.68,0.474,8127.0
H,S-HALF,S3,2.5,30,-0.025,0.175,4.93,0.483,8005.0
