window,window_name,series,base_step,q,vr,ci_lo,ci_hi,p_lt_1
R,S-RTH,LEGB,1,2,0.8913,0.8834,0.901,0.0
R,S-RTH,LEGB,1,5,0.8076,0.7899,0.827,0.0
R,S-RTH,LEGB,1,15,0.7571,0.7366,0.7757,0.0
R,S-RTH,LEGB,1,30,0.7621,0.7354,0.7913,0.0
R,S-RTH,LEGB,1,60,0.7638,0.7243,0.8021,0.0
R,S-RTH,LEGB,1,120,0.7476,0.6912,0.8063,0.0
R,S-RTH,LEGB,15,2,1.0066,0.9754,1.0329,0.68
R,S-RTH,LEGB,15,5,0.9673,0.9194,1.0119,0.083
R,S-RTH,LEGB,15,15,1.174,1.0755,1.2811,1.0
R,S-RTH,LEGB,15,30,,,,
R,S-RTH,LEGB,15,60,,,,
R,S-RTH,LEGB,15,120,,,,
S,S-SETTLE,LEGA,1,2,0.8531,0.8439,0.8617,0.0
S,S-SETTLE,LEGA,1,5,0.7381,0.7244,0.7508,0.0
S,S-SETTLE,LEGA,1,15,0.6788,0.6605,0.6954,0.0
S,S-SETTLE,LEGA,1,30,0.6733,0.6487,0.6986,0.0
S,S-SETTLE,LEGA,1,60,0.6639,0.6311,0.696,0.0
S,S-SETTLE,LEGA,1,120,0.7276,0.6751,0.7773,0.0
S,S-SETTLE,LEGA,15,2,0.992,0.9647,1.0181,0.255
S,S-SETTLE,LEGA,15,5,1.01,0.9601,1.0549,0.635
S,S-SETTLE,LEGA,15,15,1.1009,1.004,1.192,0.98
S,S-SETTLE,LEGA,15,30,,,,
S,S-SETTLE,LEGA,15,60,,,,
S,S-SETTLE,LEGA,15,120,,,,
S,S-SETTLE,LEGB,1,2,0.8984,0.8907,0.908,0.0
S,S-SETTLE,LEGB,1,5,0.8243,0.8059,0.8454,0.0
S,S-SETTLE,LEGB,1,15,0.7751,0.7523,0.7969,0.0
S,S-SETTLE,LEGB,1,30,0.7809,0.7516,0.8149,0.0
S,S-SETTLE,LEGB,1,60,0.7789,0.7356,0.8226,0.0
S,S-SETTLE,LEGB,1,120,0.8392,0.7828,0.8996,0.0
S,S-SETTLE,LEGB,15,2,1.0075,0.9745,1.0369,0.688
S,S-SETTLE,LEGB,15,5,0.9917,0.9441,1.0359,0.352
S,S-SETTLE,LEGB,15,15,1.0997,1.0102,1.1921,0.983
S,S-SETTLE,LEGB,15,30,,,,
S,S-SETTLE,LEGB,15,60,,,,
S,S-SETTLE,LEGB,15,120,,,,
R,S-RTH,RES1,1,2,0.6096,0.6016,0.6192,0.0
R,S-RTH,RES1,1,5,0.3627,0.3474,0.3797,0.0
R,S-RTH,RES1,1,15,0.247,0.2316,0.2631,0.0
R,S-RTH,RES1,1,30,0.2234,0.2077,0.2434,0.0
R,S-RTH,RES1,1,60,0.2056,0.1869,0.2256,0.0
R,S-RTH,RES1,1,120,0.2012,0.1826,0.2229,0.0
R,S-RTH,RES1,5,2,0.7672,0.7517,0.7847,0.0
R,S-RTH,RES1,5,5,0.6101,0.5871,0.6309,0.0
R,S-RTH,RES1,5,15,0.5382,0.5037,0.571,0.0
R,S-RTH,RES1,5,30,0.5461,0.4891,0.6088,0.0
R,S-RTH,RES1,5,60,0.574,0.5017,0.6931,0.0
R,S-RTH,RES1,5,120,,,,
R,S-RTH,RES1,15,2,0.9044,0.8715,0.9321,0.0
R,S-RTH,RES1,15,5,0.7903,0.7468,0.826,0.0
R,S-RTH,RES1,15,15,0.7967,0.7301,0.8702,0.0
R,S-RTH,RES1,15,30,,,,
R,S-RTH,RES1,15,60,,,,
R,S-RTH,RES1,15,120,,,,
R,S-RTH,RES2,1,2,0.6211,0.6129,0.6298,0.0
R,S-RTH,RES2,1,5,0.3811,0.3686,0.3948,0.0
R,S-RTH,RES2,1,15,0.2684,0.2547,0.282,0.0
R,S-RTH,RES2,1,30,0.25,0.2329,0.265,0.0
R,S-RTH,RES2,1,60,0.2423,0.2218,0.2678,0.0
R,S-RTH,RES2,1,120,0.2539,0.2224,0.2952,0.0
U,S-USED,RES1,1,2,0.605,0.5976,0.6144,0.0
U,S-USED,RES1,1,5,0.3513,0.3366,0.3672,0.0
U,S-USED,RES1,1,15,0.2335,0.2187,0.2495,0.0
U,S-USED,RES1,1,30,0.2085,0.1936,0.2277,0.0
U,S-USED,RES1,1,60,0.1899,0.1721,0.2097,0.0
U,S-USED,RES1,1,120,0.1815,0.1631,0.2011,0.0
U,S-USED,RES1,5,2,0.7509,0.7342,0.7687,0.0
U,S-USED,RES1,5,5,0.5937,0.5548,0.646,0.0
U,S-USED,RES1,5,15,0.5358,0.4806,0.6158,0.0
U,S-USED,RES1,5,30,0.5931,0.5137,0.6943,0.0
U,S-USED,RES1,5,60,0.6016,0.5126,0.7247,0.0
U,S-USED,RES1,5,120,,,,
U,S-USED,RES1,15,2,0.8928,0.8584,0.9279,0.0
U,S-USED,RES1,15,5,0.8061,0.7388,0.9011,0.0
U,S-USED,RES1,15,15,0.9073,0.7795,1.0793,0.135
U,S-USED,RES1,15,30,,,,
U,S-USED,RES1,15,60,,,,
U,S-USED,RES1,15,120,,,,
U,S-USED,RES2,1,2,0.6133,0.6056,0.6216,0.0
U,S-USED,RES2,1,5,0.3644,0.3526,0.3772,0.0
U,S-USED,RES2,1,15,0.2504,0.2368,0.2647,0.0
U,S-USED,RES2,1,30,0.2296,0.2143,0.2452,0.0
U,S-USED,RES2,1,60,0.2203,0.1991,0.2429,0.0
U,S-USED,RES2,1,120,0.2315,0.2072,0.2567,0.0
U,S-USED,LEGA,1,2,0.818,0.8087,0.8275,0.0
U,S-USED,LEGA,1,5,0.6776,0.6624,0.6909,0.0
U,S-USED,LEGA,1,15,0.6121,0.5933,0.6304,0.0
U,S-USED,LEGA,1,30,0.6073,0.5855,0.6299,0.0
U,S-USED,LEGA,1,60,0.5815,0.5552,0.6096,0.0
U,S-USED,LEGA,1,120,0.5837,0.5472,0.621,0.0
U,S-USED,LEGA,15,2,0.9922,0.9692,1.0144,0.26
U,S-USED,LEGA,15,5,0.9349,0.8909,0.983,0.003
U,S-USED,LEGA,15,15,1.0845,0.9952,1.1929,0.97
U,S-USED,LEGA,15,30,,,,
U,S-USED,LEGA,15,60,,,,
U,S-USED,LEGA,15,120,,,,
U,S-USED,LEGB,1,2,0.8681,0.8593,0.8775,0.0
U,S-USED,LEGB,1,5,0.7685,0.7472,0.7881,0.0
U,S-USED,LEGB,1,15,0.7148,0.69,0.7376,0.0
U,S-USED,LEGB,1,30,0.7046,0.6772,0.7349,0.0
U,S-USED,LEGB,1,60,0.6938,0.6555,0.7383,0.0
U,S-USED,LEGB,1,120,0.6794,0.6304,0.7264,0.0
U,S-USED,LEGB,15,2,0.9857,0.9493,1.0187,0.195
U,S-USED,LEGB,15,5,0.9553,0.8974,1.012,0.062
U,S-USED,LEGB,15,15,1.1032,0.9938,1.2093,0.968
U,S-USED,LEGB,15,30,,,,
U,S-USED,LEGB,15,60,,,,
U,S-USED,LEGB,15,120,,,,
