bucket,n_bars,sd_dres_bps,mean_abs_z,p99_abs_z,frac_abs_z_gt2
"[-1170,-780)",10530.0,0.331,1.251,4.019,0.1732
"[-390,0)",10530.0,0.307,1.242,3.92,0.1649
"[-780,-390)",10530.0,0.32,1.211,3.779,0.1564
"[0,390)",10530.0,0.372,1.209,3.796,0.1608
"[390,780)",10530.0,0.356,1.251,4.02,0.158
"[780,1170)",10530.0,0.35,1.235,4.229,0.1604
baseline,610710.0,0.36,1.238,4.189,0.16
