roll,shock_bps
2019-08-30,-27.2
2019-11-29,12.0
2020-02-28,28.3
2020-05-29,34.5
2020-08-31,14.4
2020-11-30,26.8
2021-02-26,77.6
2021-05-28,63.3
2021-08-31,29.8
2021-11-30,29.7
2022-02-28,-30.4
2022-05-31,-15.0
2022-08-31,-15.8
2022-11-30,4.3
2023-02-28,-23.0
2023-05-31,-12.6
2023-08-31,-0.7
2023-11-30,15.9
2024-02-29,-0.4
2024-05-31,5.1
2024-08-30,3.2
2024-11-29,6.1
2025-02-28,21.8
2025-05-30,26.2
2025-08-29,23.6
2025-11-28,22.9
2026-02-27,20.8
