pair,asset_class,segment,anchor,bars,sessions,gate,s1_positive_cells,s1_cells,sig_cells_honest,sig_positive,sig_negative,best_effect_bps,best_spec,best_entry_z,best_horizon,best_t,round_trip_cost_bps,cost_basis,effect_over_cost,vr_res_1min,vr_res_5min,vr_res_15min,vr_walk_x,leg_a_vr_q2,leg_b_vr_q2,open_30min_share,roll_shock_med_bps,roll_shock_max_bps,verdict,decision,experiment,report,run
MES_MYM,index,S&P-vs-Dow,unit,676560,1744,PASS,0,20,16,0,16,1.41,S2,3.0,120,1.93,2.0,report 02 §5 band 2-3 bps incl. A-007 placeholder; low end used,0.705,0.756,0.852,0.95,1.26,0.989,0.99,0.243,11.82,15.46,A-006 FALSIFIED,D-011,EXP-008,02 §1-§10,Alert Magenta Rabbit
MES_MNQ,index,S&P-vs-Nasdaq,unit,684300,1780,PASS,0,20,15,0,15,1.781,S1,3.0,60,2.84,2.0,report 02 §5 band 2-3 bps incl. A-007 placeholder; low end used,0.89,0.928,0.941,0.983,1.06,0.988,1.017,0.247,17.41,29.01,A-006 FALSIFIED,D-013,EXP-009,02 §11,Virtual Asparagus Pelican
MES_M2K,index,S&P-vs-Russell,unit,684300,1780,PASS,8,20,19,12,7,6.305,S1,3.0,120,5.31,2.0,report 02 §5 band 2-3 bps incl. A-007 placeholder; low end used,3.152,0.813,0.897,0.956,1.18,0.988,1.012,0.227,6.51,12.48,AMBIGUOUS / MICROSTRUCTURE,D-015,EXP-010,02 §12,Well Dressed Green Tapir
ZF_ZN,treasury,5s10s,vol_ratio,675840,1746,PASS,20,20,38,38,0,0.286,S1,2.0,120,6.59,3.103,"spec-derived (A-003 ticks, beta=0.583); spread only",0.092,0.134,0.467,0.827,6.17,0.889,0.818,0.127,12.97,53.19,AMBIGUOUS / IMMATERIAL,D-017,EXP-011,03,Calculating Tan Cormorant
ZT_ZF,treasury,2s5s,vol_ratio,675840,1746,PASS,20,20,39,39,0,0.202,S1,2.0,120,6.88,1.415,"spec-derived (A-003 ticks, beta=0.449); spread only",0.143,0.241,0.623,0.904,3.76,0.873,0.889,0.133,9.7,38.97,AMBIGUOUS / IMMATERIAL,D-018,EXP-012,03,Swimming Yellow Green Guanaco
ZN_ZB,treasury,10s30s,vol_ratio,675840,1746,PASS,20,20,38,38,0,0.664,S1,3.0,60,6.49,5.853,"spec-derived (A-003 ticks, beta=0.554); spread only",0.113,0.208,0.594,0.893,4.28,0.818,0.868,0.136,39.5,118.19,AMBIGUOUS / IMMATERIAL,D-018,EXP-013,03,Measured Magenta Goat
ZT_ZN,treasury,2s10s,vol_ratio,675840,1746,PASS,16,20,20,20,0,0.166,S1,2.0,120,4.07,1.504,"spec-derived (A-003 ticks, beta=0.260); spread only",0.11,0.322,0.712,0.963,2.99,0.873,0.818,0.133,21.79,77.56,AMBIGUOUS / IMMATERIAL,D-018,EXP-014,03,Logical Magenta Termite
