sym,n_rolls,dte_min,dte_med,dte_max,abs_gap_med_pct,abs_gap_max_pct,clean,partial,leaked,elevated,vs_med,last_leaked
M2K,28,0,0.0,0,0.6689,1.1787,10,3,15,17,0.8725,2026-03-20
MES,28,0,0.0,2,0.6490499999999999,1.2183,26,0,2,2,0.8565,2023-03-17
MNQ,28,0,0.0,0,0.74085,1.3766,24,0,4,5,0.8305,2020-06-19
MYM,28,0,0.0,0,0.6479,1.0984,14,0,14,16,0.8485,2026-03-20
ZB,27,18,23.0,25,0.4085,1.1253,17,2,8,10,0.285,2026-02-26
ZF,27,28,33.0,36,0.351,0.5507,22,1,4,8,0.309,2024-02-28
ZN,27,18,22.0,25,0.2711,0.8039,23,0,4,6,0.28,2022-11-25
ZT,27,28,33.0,36,0.2143,0.5893,22,0,5,8,0.337,2025-08-27
