window,window_name,series,base_step,q,vr,ci_lo,ci_hi,p_lt_1
R,S-RTH,LEGB,1,2,0.8472,0.8378,0.8558,0.0
R,S-RTH,LEGB,1,5,0.7265,0.713,0.7382,0.0
R,S-RTH,LEGB,1,15,0.6677,0.6516,0.6837,0.0
R,S-RTH,LEGB,1,30,0.674,0.651,0.6977,0.0
R,S-RTH,LEGB,1,60,0.6646,0.6355,0.6954,0.0
R,S-RTH,LEGB,1,120,0.6615,0.6221,0.7001,0.0
R,S-RTH,LEGB,15,2,1.0093,0.9853,1.0318,0.755
R,S-RTH,LEGB,15,5,0.9986,0.954,1.0385,0.465
R,S-RTH,LEGB,15,15,1.1752,1.0755,1.272,1.0
R,S-RTH,LEGB,15,30,,,,
R,S-RTH,LEGB,15,60,,,,
R,S-RTH,LEGB,15,120,,,,
S,S-SETTLE,LEGA,1,2,0.913,0.9025,0.9234,0.0
S,S-SETTLE,LEGA,1,5,0.8328,0.8183,0.8474,0.0
S,S-SETTLE,LEGA,1,15,0.7986,0.7751,0.819,0.0
S,S-SETTLE,LEGA,1,30,0.7885,0.7511,0.8218,0.0
S,S-SETTLE,LEGA,1,60,0.7802,0.7372,0.8235,0.0
S,S-SETTLE,LEGA,1,120,0.8462,0.7755,0.9126,0.0
S,S-SETTLE,LEGA,15,2,0.9874,0.9531,1.0218,0.225
S,S-SETTLE,LEGA,15,5,1.02,0.9631,1.0743,0.733
S,S-SETTLE,LEGA,15,15,1.0723,0.9695,1.1742,0.905
S,S-SETTLE,LEGA,15,30,,,,
S,S-SETTLE,LEGA,15,60,,,,
S,S-SETTLE,LEGA,15,120,,,,
S,S-SETTLE,LEGB,1,2,0.8531,0.8439,0.8617,0.0
S,S-SETTLE,LEGB,1,5,0.7381,0.7244,0.7508,0.0
S,S-SETTLE,LEGB,1,15,0.6788,0.6605,0.6954,0.0
S,S-SETTLE,LEGB,1,30,0.6733,0.6487,0.6986,0.0
S,S-SETTLE,LEGB,1,60,0.6639,0.6311,0.696,0.0
S,S-SETTLE,LEGB,1,120,0.7276,0.6751,0.7773,0.0
S,S-SETTLE,LEGB,15,2,0.992,0.9647,1.0181,0.255
S,S-SETTLE,LEGB,15,5,1.01,0.9601,1.0549,0.635
S,S-SETTLE,LEGB,15,15,1.1009,1.004,1.192,0.98
S,S-SETTLE,LEGB,15,30,,,,
S,S-SETTLE,LEGB,15,60,,,,
S,S-SETTLE,LEGB,15,120,,,,
R,S-RTH,RES1,1,2,0.5622,0.5574,0.5671,0.0
R,S-RTH,RES1,1,5,0.2902,0.2836,0.2964,0.0
R,S-RTH,RES1,1,15,0.168,0.1597,0.177,0.0
R,S-RTH,RES1,1,30,0.1387,0.1302,0.148,0.0
R,S-RTH,RES1,1,60,0.1206,0.1117,0.129,0.0
R,S-RTH,RES1,1,120,0.1154,0.1046,0.1266,0.0
R,S-RTH,RES1,5,2,0.6805,0.6669,0.694,0.0
R,S-RTH,RES1,5,5,0.4798,0.4601,0.498,0.0
R,S-RTH,RES1,5,15,0.3991,0.3685,0.4287,0.0
R,S-RTH,RES1,5,30,0.3909,0.3512,0.4345,0.0
R,S-RTH,RES1,5,60,0.3831,0.3384,0.4315,0.0
R,S-RTH,RES1,5,120,,,,
R,S-RTH,RES1,15,2,0.8255,0.7978,0.8566,0.0
R,S-RTH,RES1,15,5,0.6892,0.6509,0.7307,0.0
R,S-RTH,RES1,15,15,0.6739,0.6062,0.7564,0.0
R,S-RTH,RES1,15,30,,,,
R,S-RTH,RES1,15,60,,,,
R,S-RTH,RES1,15,120,,,,
R,S-RTH,RES2,1,2,0.5662,0.5613,0.5711,0.0
R,S-RTH,RES2,1,5,0.2934,0.287,0.3007,0.0
R,S-RTH,RES2,1,15,0.1705,0.1628,0.1795,0.0
R,S-RTH,RES2,1,30,0.1415,0.1336,0.1508,0.0
R,S-RTH,RES2,1,60,0.1297,0.1208,0.1392,0.0
R,S-RTH,RES2,1,120,0.1315,0.1183,0.1472,0.0
U,S-USED,RES1,1,2,0.5625,0.558,0.5675,0.0
U,S-USED,RES1,1,5,0.2863,0.28,0.2929,0.0
U,S-USED,RES1,1,15,0.162,0.1538,0.1722,0.0
U,S-USED,RES1,1,30,0.134,0.1254,0.1441,0.0
U,S-USED,RES1,1,60,0.1133,0.105,0.1234,0.0
U,S-USED,RES1,1,120,0.1051,0.0931,0.1182,0.0
U,S-USED,RES1,5,2,0.672,0.6569,0.6872,0.0
U,S-USED,RES1,5,5,0.467,0.4427,0.4919,0.0
U,S-USED,RES1,5,15,0.3873,0.3481,0.4424,0.0
U,S-USED,RES1,5,30,0.42,0.3779,0.4857,0.0
U,S-USED,RES1,5,60,0.4041,0.3586,0.4586,0.0
U,S-USED,RES1,5,120,,,,
U,S-USED,RES1,15,2,0.8273,0.7977,0.858,0.0
U,S-USED,RES1,15,5,0.6845,0.6272,0.7595,0.0
U,S-USED,RES1,15,15,0.7141,0.6294,0.8068,0.0
U,S-USED,RES1,15,30,,,,
U,S-USED,RES1,15,60,,,,
U,S-USED,RES1,15,120,,,,
U,S-USED,RES2,1,2,0.5627,0.5581,0.5673,0.0
U,S-USED,RES2,1,5,0.2838,0.2779,0.2904,0.0
U,S-USED,RES2,1,15,0.1581,0.1506,0.1664,0.0
U,S-USED,RES2,1,30,0.1296,0.1221,0.1387,0.0
U,S-USED,RES2,1,60,0.1164,0.1073,0.1264,0.0
U,S-USED,RES2,1,120,0.1134,0.1015,0.1246,0.0
U,S-USED,LEGA,1,2,0.8887,0.8771,0.8988,0.0
U,S-USED,LEGA,1,5,0.7871,0.7687,0.8063,0.0
U,S-USED,LEGA,1,15,0.7493,0.7257,0.7729,0.0
U,S-USED,LEGA,1,30,0.7551,0.7243,0.7851,0.0
U,S-USED,LEGA,1,60,0.7271,0.6851,0.7683,0.0
U,S-USED,LEGA,1,120,0.7224,0.6702,0.776,0.0
U,S-USED,LEGA,15,2,1.0077,0.9808,1.0351,0.693
U,S-USED,LEGA,15,5,0.9506,0.9022,1.005,0.04
U,S-USED,LEGA,15,15,1.0952,0.992,1.2081,0.953
U,S-USED,LEGA,15,30,,,,
U,S-USED,LEGA,15,60,,,,
U,S-USED,LEGA,15,120,,,,
U,S-USED,LEGB,1,2,0.818,0.8087,0.8275,0.0
U,S-USED,LEGB,1,5,0.6776,0.6624,0.6909,0.0
U,S-USED,LEGB,1,15,0.6121,0.5933,0.6304,0.0
U,S-USED,LEGB,1,30,0.6073,0.5855,0.6299,0.0
U,S-USED,LEGB,1,60,0.5815,0.5552,0.6096,0.0
U,S-USED,LEGB,1,120,0.5837,0.5472,0.621,0.0
U,S-USED,LEGB,15,2,0.9922,0.9692,1.0144,0.26
U,S-USED,LEGB,15,5,0.9349,0.8909,0.983,0.003
U,S-USED,LEGB,15,15,1.0845,0.9952,1.1929,0.97
U,S-USED,LEGB,15,30,,,,
U,S-USED,LEGB,15,60,,,,
U,S-USED,LEGB,15,120,,,,
