bucket,n_bars,sd_dres_bps,mean_abs_z,p99_abs_z,frac_abs_z_gt2
"[-1170,-780)",10920.0,3.768,1.21,3.742,0.1592
"[-390,0)",10920.0,6.001,1.237,3.869,0.1855
"[-780,-390)",10920.0,3.92,1.212,3.834,0.1531
"[0,390)",10920.0,7.671,1.262,4.295,0.1707
"[390,780)",10920.0,6.583,1.146,3.474,0.1298
"[780,1170)",10920.0,6.27,1.237,3.975,0.1783
baseline,618780.0,3.976,1.219,3.918,0.1588
