bucket,n_bars,sd_dres_bps,mean_abs_z,p99_abs_z,frac_abs_z_gt2
"[-1170,-780)",10530.0,0.629,1.201,4.151,0.1575
"[-390,0)",10530.0,0.581,1.218,3.825,0.1492
"[-780,-390)",10530.0,0.606,1.188,3.754,0.1545
"[0,390)",10530.0,0.66,1.26,4.04,0.16
"[390,780)",10530.0,0.658,1.223,3.969,0.1481
"[780,1170)",10530.0,0.651,1.159,3.705,0.1237
baseline,610710.0,0.652,1.192,4.0,0.1481
