signal,signal_label,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
1,z1_session_anchored,S2,1.5,60,-0.098,0.06,0.32,0.507,15746.0
1,z1_session_anchored,S2,1.5,120,-0.068,0.5,1.88,0.505,13268.0
1,z1_session_anchored,S2,2.0,5,0.041,0.033,0.46,0.51,9257.0
1,z1_session_anchored,S2,2.0,15,-0.097,-0.118,-0.94,0.499,8909.0
1,z1_session_anchored,S2,2.0,30,-0.243,-0.026,-0.14,0.488,8549.0
1,z1_session_anchored,S2,2.0,60,-0.361,0.284,1.15,0.496,7865.0
1,z1_session_anchored,S2,2.0,120,-0.641,0.716,2.09,0.5,6468.0
1,z1_session_anchored,S2,2.5,5,-0.097,0.09,0.71,0.495,3401.0
1,z1_session_anchored,S2,2.5,15,-0.335,0.071,0.37,0.491,3215.0
1,z1_session_anchored,S2,2.5,30,-0.594,0.013,0.05,0.464,3032.0
1,z1_session_anchored,S2,2.5,60,-0.678,0.174,0.44,0.488,2733.0
1,z1_session_anchored,S2,2.5,120,-0.841,0.545,1.09,0.488,2245.0
1,z1_session_anchored,S2,3.0,5,-0.148,0.21,0.97,0.5,1165.0
1,z1_session_anchored,S2,3.0,15,-0.348,0.565,1.63,0.494,1079.0
1,z1_session_anchored,S2,3.0,30,-0.764,0.181,0.33,0.465,999.0
1,z1_session_anchored,S2,3.0,60,-0.826,0.392,0.5,0.471,909.0
1,z1_session_anchored,S2,3.0,120,0.177,0.772,0.74,0.51,698.0
1,z1_session_anchored,S3,1.5,5,0.045,-0.04,-0.96,0.504,17024.0
1,z1_session_anchored,S3,1.5,15,0.028,-0.097,-1.17,0.507,16535.0
1,z1_session_anchored,S3,1.5,30,0.012,-0.028,-0.21,0.503,15966.0
1,z1_session_anchored,S3,1.5,60,0.084,0.448,2.52,0.511,14914.0
1,z1_session_anchored,S3,1.5,120,0.206,0.968,3.8,0.521,12654.0
1,z1_session_anchored,S3,2.0,5,0.059,0.23,3.1,0.508,7847.0
1,z1_session_anchored,S3,2.0,15,0.0,0.31,2.55,0.508,7582.0
1,z1_session_anchored,S3,2.0,30,-0.079,0.554,3.15,0.5,7250.0
1,z1_session_anchored,S3,2.0,60,-0.063,1.04,4.35,0.506,6660.0
1,z1_session_anchored,S3,2.0,120,-0.561,1.197,3.71,0.491,5640.0
1,z1_session_anchored,S3,2.5,5,0.191,0.401,3.43,0.527,2647.0
1,z1_session_anchored,S3,2.5,15,0.165,0.705,3.85,0.508,2519.0
1,z1_session_anchored,S3,2.5,30,0.116,0.967,3.55,0.505,2370.0
1,z1_session_anchored,S3,2.5,60,0.112,1.167,3.01,0.504,2206.0
1,z1_session_anchored,S3,2.5,120,-0.59,0.848,1.69,0.479,1814.0
1,z1_session_anchored,S3,3.0,5,0.255,0.814,3.41,0.523,778.0
1,z1_session_anchored,S3,3.0,15,1.066,1.727,3.87,0.525,710.0
1,z1_session_anchored,S3,3.0,30,1.319,2.064,3.15,0.497,652.0
1,z1_session_anchored,S3,3.0,60,1.202,2.11,2.6,0.51,596.0
1,z1_session_anchored,S3,3.0,120,1.583,2.01,1.88,0.542,483.0
2,z2_open_excluded,S1,1.5,5,0.121,0.236,3.19,0.503,10550.0
2,z2_open_excluded,S1,1.5,15,0.048,0.411,2.79,0.506,10225.0
2,z2_open_excluded,S1,1.5,30,-0.085,0.563,2.43,0.497,9902.0
2,z2_open_excluded,S1,1.5,60,-0.053,1.056,3.44,0.502,9268.0
2,z2_open_excluded,S1,1.5,120,-0.187,1.427,3.33,0.508,8056.0
2,z2_open_excluded,S1,2.0,5,0.128,0.33,3.32,0.519,6649.0
2,z2_open_excluded,S1,2.0,15,0.13,0.714,3.7,0.51,6519.0
2,z2_open_excluded,S1,2.0,30,0.267,1.252,4.44,0.513,6355.0
2,z2_open_excluded,S1,2.0,60,0.276,2.214,5.58,0.518,6113.0
2,z2_open_excluded,S1,2.0,120,0.507,3.121,6.13,0.515,5664.0
2,z2_open_excluded,S1,2.5,5,0.071,0.483,3.23,0.506,3706.0
2,z2_open_excluded,S1,2.5,15,-0.064,1.174,4.58,0.515,3655.0
2,z2_open_excluded,S1,2.5,30,-0.229,1.763,4.88,0.508,3612.0
2,z2_open_excluded,S1,2.5,60,-0.55,2.252,4.8,0.496,3500.0
2,z2_open_excluded,S1,2.5,120,-0.894,2.488,4.2,0.496,3368.0
2,z2_open_excluded,S1,3.0,5,0.241,0.944,4.77,0.523,1885.0
2,z2_open_excluded,S1,3.0,15,0.292,1.914,5.5,0.517,1872.0
2,z2_open_excluded,S1,3.0,30,0.414,2.827,6.06,0.521,1865.0
2,z2_open_excluded,S1,3.0,60,0.094,2.657,4.17,0.521,1830.0
2,z2_open_excluded,S1,3.0,120,-0.34,2.275,2.83,0.513,1773.0
2,z2_open_excluded,S2,1.5,5,-0.023,-0.012,-0.2,0.501,11340.0
2,z2_open_excluded,S2,1.5,15,-0.073,0.028,0.24,0.496,10851.0
2,z2_open_excluded,S2,1.5,30,-0.047,0.221,1.29,0.499,10346.0
2,z2_open_excluded,S2,1.5,60,-0.043,0.495,2.08,0.5,9514.0
2,z2_open_excluded,S2,1.5,120,-0.114,0.961,2.74,0.507,7962.0
2,z2_open_excluded,S2,2.0,5,0.026,0.11,1.24,0.505,7275.0
2,z2_open_excluded,S2,2.0,15,0.086,0.404,2.46,0.503,6991.0
2,z2_open_excluded,S2,2.0,30,0.143,0.699,2.88,0.502,6758.0
2,z2_open_excluded,S2,2.0,60,0.167,1.135,3.66,0.508,6353.0
2,z2_open_excluded,S2,2.0,120,0.539,2.035,4.83,0.525,5546.0
2,z2_open_excluded,S2,2.5,5,-0.004,0.331,2.62,0.506,3803.0
2,z2_open_excluded,S2,2.5,15,-0.239,0.778,3.22,0.497,3671.0
2,z2_open_excluded,S2,2.5,30,-0.499,1.002,2.88,0.483,3539.0
2,z2_open_excluded,S2,2.5,60,-0.791,1.115,2.53,0.488,3342.0
2,z2_open_excluded,S2,2.5,120,-0.526,1.974,3.67,0.499,3013.0
2,z2_open_excluded,S2,3.0,5,-0.093,0.297,1.72,0.507,1680.0
2,z2_open_excluded,S2,3.0,15,-0.35,0.676,2.05,0.502,1614.0
2,z2_open_excluded,S2,3.0,30,-0.852,1.017,2.17,0.5,1568.0
2,z2_open_excluded,S2,3.0,60,-1.819,0.39,0.63,0.498,1511.0
2,z2_open_excluded,S2,3.0,120,-1.029,1.5,1.99,0.509,1392.0
2,z2_open_excluded,S3,1.5,5,0.088,0.201,3.77,0.51,11215.0
2,z2_open_excluded,S3,1.5,15,0.156,0.547,4.98,0.514,10800.0
2,z2_open_excluded,S3,1.5,30,0.176,0.8,5.09,0.511,10375.0
2,z2_open_excluded,S3,1.5,60,0.095,0.889,4.07,0.508,9647.0
2,z2_open_excluded,S3,1.5,120,0.273,1.237,4.01,0.513,8327.0
2,z2_open_excluded,S3,2.0,5,0.052,0.25,3.57,0.512,7076.0
2,z2_open_excluded,S3,2.0,15,0.148,0.749,5.43,0.513,6872.0
2,z2_open_excluded,S3,2.0,30,0.151,1.049,5.36,0.517,6670.0
2,z2_open_excluded,S3,2.0,60,0.255,1.602,5.88,0.526,6340.0
2,z2_open_excluded,S3,2.0,120,0.46,2.323,6.41,0.534,5766.0
2,z2_open_excluded,S3,2.5,5,0.163,0.557,6.2,0.517,3870.0
2,z2_open_excluded,S3,2.5,15,0.283,1.295,7.29,0.518,3780.0
2,z2_open_excluded,S3,2.5,30,0.332,1.924,7.04,0.513,3697.0
2,z2_open_excluded,S3,2.5,60,0.476,2.208,6.39,0.534,3624.0
2,z2_open_excluded,S3,2.5,120,0.259,2.172,4.97,0.528,3458.0
2,z2_open_excluded,S3,3.0,5,-0.096,0.492,3.7,0.486,1991.0
2,z2_open_excluded,S3,3.0,15,-0.134,1.317,5.19,0.478,1941.0
2,z2_open_excluded,S3,3.0,30,-0.673,1.321,3.77,0.475,1914.0
2,z2_open_excluded,S3,3.0,60,-0.815,1.328,2.95,0.47,1872.0
2,z2_open_excluded,S3,3.0,120,-1.22,0.956,1.63,0.472,1813.0
O,zO_open_only_EXPLORATORY,S1,1.5,5,-0.17,-1.133,-4.06,0.493,2485.0
O,zO_open_only_EXPLORATORY,S1,1.5,15,-0.316,-1.598,-3.61,0.487,2485.0
O,zO_open_only_EXPLORATORY,S1,1.5,30,-0.684,-2.173,-3.64,0.482,2485.0
O,zO_open_only_EXPLORATORY,S1,1.5,60,-0.273,-1.544,-2.17,0.505,2485.0
O,zO_open_only_EXPLORATORY,S1,1.5,120,-0.633,-2.139,-2.5,0.493,2485.0
O,zO_open_only_EXPLORATORY,S1,2.0,5,0.045,-0.552,-1.8,0.511,2242.0
O,zO_open_only_EXPLORATORY,S1,2.0,15,-0.123,-0.896,-1.83,0.506,2242.0
O,zO_open_only_EXPLORATORY,S1,2.0,30,-0.621,-1.474,-2.32,0.492,2242.0
O,zO_open_only_EXPLORATORY,S1,2.0,60,-0.029,-0.629,-0.82,0.504,2242.0
O,zO_open_only_EXPLORATORY,S1,2.0,120,-0.566,-1.323,-1.46,0.498,2242.0
O,zO_open_only_EXPLORATORY,S1,2.5,5,-0.04,-0.456,-1.43,0.483,1990.0
O,zO_open_only_EXPLORATORY,S1,2.5,15,-0.421,-0.823,-1.57,0.487,1990.0
O,zO_open_only_EXPLORATORY,S1,2.5,30,-0.557,-1.17,-1.74,0.481,1990.0
O,zO_open_only_EXPLORATORY,S1,2.5,60,0.069,-0.505,-0.63,0.496,1990.0
O,zO_open_only_EXPLORATORY,S1,2.5,120,-0.719,-1.367,-1.44,0.495,1990.0
O,zO_open_only_EXPLORATORY,S1,3.0,5,-0.251,-0.481,-1.43,0.489,1747.0
O,zO_open_only_EXPLORATORY,S1,3.0,15,-1.43,-1.363,-2.43,0.452,1747.0
O,zO_open_only_EXPLORATORY,S1,3.0,30,-1.506,-0.745,-1.01,0.463,1747.0
O,zO_open_only_EXPLORATORY,S1,3.0,60,-0.96,-0.075,-0.08,0.473,1747.0
O,zO_open_only_EXPLORATORY,S1,3.0,120,-1.983,-0.719,-0.67,0.484,1747.0
