bucket,n_bars,sd_dres_bps,mean_abs_z,p99_abs_z,frac_abs_z_gt2
"[-1170,-780)",10530.0,1.148,1.265,4.517,0.1581
"[-390,0)",10530.0,1.071,1.241,3.896,0.1538
"[-780,-390)",10530.0,1.076,1.225,3.568,0.1616
"[0,390)",10530.0,1.254,1.221,4.035,0.1787
"[390,780)",10530.0,1.213,1.233,4.304,0.1589
"[780,1170)",10530.0,1.178,1.156,4.242,0.1328
baseline,610710.0,1.213,1.214,4.095,0.1513
