spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
S1,1.5,5,0.066,-0.488,-4.86,0.499,14110.0
S1,1.5,15,0.027,-0.859,-5.63,0.495,13687.0
S1,1.5,30,-0.023,-1.237,-5.63,0.497,13254.0
S1,1.5,60,-0.251,-1.445,-5.19,0.49,12501.0
S1,1.5,120,-0.438,-1.238,-3.47,0.478,11155.0
S1,2.0,5,0.015,-0.481,-4.08,0.503,9372.0
S1,2.0,15,-0.123,-0.981,-5.13,0.491,9241.0
S1,2.0,30,-0.321,-1.249,-4.79,0.49,9060.0
S1,2.0,60,-0.583,-1.11,-3.3,0.481,8776.0
S1,2.0,120,-1.059,-0.742,-1.81,0.466,8266.0
S1,2.5,5,-0.01,-0.124,-0.9,0.49,6076.0
S1,2.5,15,0.021,-0.082,-0.35,0.5,6029.0
S1,2.5,30,-0.256,-0.071,-0.23,0.487,5982.0
S1,2.5,60,-0.355,0.523,1.35,0.479,5901.0
S1,2.5,120,-0.638,0.482,1.04,0.47,5757.0
S1,3.0,5,-0.079,-0.054,-0.27,0.49,3640.0
S1,3.0,15,-0.236,0.164,0.53,0.485,3628.0
S1,3.0,30,-0.385,0.528,1.33,0.48,3620.0
S1,3.0,60,-0.671,0.983,2.07,0.481,3597.0
S1,3.0,120,-1.185,0.716,1.28,0.467,3557.0
S2,1.5,5,-0.078,-0.508,-4.84,0.49,13826.0
S2,1.5,15,-0.223,-1.073,-6.38,0.479,13388.0
S2,1.5,30,-0.433,-1.629,-7.22,0.477,12917.0
S2,1.5,60,-0.478,-1.814,-5.72,0.481,12046.0
S2,1.5,120,-0.704,-1.711,-4.14,0.474,10532.0
S2,2.0,5,0.008,-0.373,-2.88,0.506,9409.0
S2,2.0,15,-0.128,-0.847,-4.0,0.493,9155.0
S2,2.0,30,-0.373,-1.215,-4.36,0.479,8928.0
S2,2.0,60,-0.438,-0.902,-2.39,0.491,8562.0
S2,2.0,120,-0.77,-0.321,-0.67,0.481,7848.0
S2,2.5,5,-0.047,-0.237,-1.21,0.504,5588.0
S2,2.5,15,-0.08,-0.152,-0.53,0.498,5480.0
S2,2.5,30,0.019,0.185,0.5,0.5,5409.0
S2,2.5,60,0.27,0.906,1.92,0.514,5287.0
S2,2.5,120,-0.278,0.754,1.3,0.495,4992.0
S2,3.0,5,0.03,0.063,0.25,0.501,3255.0
S2,3.0,15,0.071,0.385,1.03,0.506,3218.0
S2,3.0,30,0.083,0.945,2.03,0.509,3176.0
S2,3.0,60,0.016,1.389,2.41,0.506,3142.0
S2,3.0,120,-0.2,1.41,1.93,0.493,3025.0
S3,1.5,5,-0.069,-0.704,-5.69,0.496,13214.0
S3,1.5,15,-0.012,-1.252,-6.14,0.502,12864.0
S3,1.5,30,0.086,-1.325,-4.83,0.506,12517.0
S3,1.5,60,0.155,-1.195,-3.31,0.508,11896.0
S3,1.5,120,0.419,-0.289,-0.62,0.501,10581.0
S3,2.0,5,-0.071,-0.79,-5.34,0.498,8772.0
S3,2.0,15,-0.149,-1.238,-5.04,0.5,8617.0
S3,2.0,30,0.087,-1.036,-3.09,0.504,8466.0
S3,2.0,60,0.13,-0.572,-1.3,0.508,8244.0
S3,2.0,120,0.475,0.974,1.79,0.513,7634.0
S3,2.5,5,-0.315,-0.665,-3.42,0.488,5773.0
S3,2.5,15,-0.232,-0.448,-1.42,0.488,5713.0
S3,2.5,30,-0.064,0.195,0.49,0.493,5665.0
S3,2.5,60,0.196,1.379,2.74,0.505,5599.0
S3,2.5,120,0.077,1.778,2.95,0.501,5418.0
S3,3.0,5,-0.171,-0.243,-0.99,0.506,3495.0
S3,3.0,15,-0.311,0.069,0.17,0.491,3482.0
S3,3.0,30,-0.053,1.141,2.29,0.493,3462.0
S3,3.0,60,-0.017,2.235,3.76,0.5,3435.0
S3,3.0,120,-0.077,2.13,3.0,0.495,3392.0
