bucket,n_bars,sd_dres_bps,mean_abs_z,p99_abs_z,frac_abs_z_gt2
"[-1170,-780)",10530.0,0.296,1.206,3.586,0.1438
"[-390,0)",10530.0,0.293,1.182,3.843,0.1429
"[-780,-390)",10530.0,0.281,1.201,4.364,0.1648
"[0,390)",10530.0,0.324,1.174,3.916,0.1398
"[390,780)",10530.0,0.307,1.134,3.599,0.1203
"[780,1170)",10530.0,0.301,1.33,4.193,0.179
baseline,610710.0,0.308,1.211,4.063,0.154
