roll,shock_bps
2019-08-30,100.2
2019-11-29,56.2
2020-02-28,53.3
2020-05-29,67.2
2020-08-31,84.2
2020-11-30,-91.7
2021-02-26,12.8
2021-05-28,33.6
2021-08-31,50.7
2021-11-30,38.3
2022-02-28,-118.2
2022-05-31,42.1
2022-08-31,44.3
2022-11-30,28.5
2023-02-28,-45.4
2023-05-31,48.5
2023-08-31,33.4
2023-11-30,32.6
2024-02-29,48.2
2024-05-31,20.6
2024-08-30,33.0
2024-11-29,-2.9
2025-02-28,21.4
2025-05-30,36.0
2025-08-29,39.5
2025-11-28,29.0
2026-02-27,28.9
