roll,shock_bps
2019-06-13,12.7
2019-09-12,12.1
2019-12-12,9.8
2020-03-12,13.7
2020-06-11,14.2
2020-09-10,13.3
2020-12-10,10.2
2021-03-11,9.9
2021-06-10,8.7
2021-09-09,12.4
2021-12-09,10.1
2022-03-10,11.7
2022-06-09,12.2
2022-09-08,12.9
2022-12-08,7.8
2023-03-09,11.0
2023-06-08,15.3
2023-09-07,15.5
2023-12-07,12.6
2024-03-07,10.1
2024-06-13,13.7
2024-09-12,12.7
2024-12-12,6.3
2025-03-13,9.8
2025-06-12,12.0
2025-09-11,11.0
2025-12-11,9.1
2026-03-12,11.3
