bucket,n_bars,sd_dres_bps,mean_abs_z,p99_abs_z,frac_abs_z_gt2
"[-1170,-780)",10920.0,1.83,1.167,3.821,0.166
"[-390,0)",10920.0,2.814,1.323,3.917,0.1649
"[-780,-390)",10920.0,1.802,1.141,4.065,0.1247
"[0,390)",10920.0,4.684,1.212,3.884,0.1571
"[390,780)",10920.0,3.09,1.186,4.137,0.138
"[780,1170)",10920.0,1.95,1.255,3.978,0.1682
baseline,611040.0,1.774,1.246,4.13,0.1644
