bucket,n_bars,sd_dres_bps,mean_abs_z,p99_abs_z,frac_abs_z_gt2
"[-1170,-780)",10920.0,2.449,1.165,4.018,0.165
"[-390,0)",10920.0,2.689,1.247,4.375,0.1401
"[-780,-390)",10920.0,2.532,1.133,3.986,0.1326
"[0,390)",10920.0,3.91,1.221,3.918,0.1667
"[390,780)",10920.0,3.898,1.205,4.097,0.1667
"[780,1170)",10920.0,2.535,1.361,4.339,0.1772
baseline,618780.0,2.288,1.224,4.107,0.1588
