key,value
S_ALIGN,bars=675840|sessions=1746|medbars=390|first=2019-06-03|last=2026-04-24|dropA=0|dropB=0
S_BETA,static=0.5394|roll_med=0.3644|roll_p5=0.1047|roll_p95=0.548|n=673890
S_SPECS,anchor=vol_ratio|S1=vol_ratio_sigma_a_over_sigma_b|S1_beta_med=0.4485|S1_beta_p5=0.3691|S1_beta_p95=0.5273
S_PAIR,ZT_ZF|markets=cbot/cbot|anchor=vol_ratio|rolls=treasury
S_HL,raw_b=-0.0024606|raw_hl=281.4|z_b=-0.0422036|z_hl=16.1|n=671760
S_PF_SHOCK,n=27|med=9.7|p90=27.14|max=38.97|units=bps_of_S1_residual
S_PF_NROLLS,in_window=27|total=27
S_HOLIDAYS,n=96|memorial21=1|span=2018-2027
S_GATE,PASS|both legs adjudicated non-gap-shaped
S_KEYS,56
S_CLOCK,0:0.133|30:0.126|60:0.137|90:0.102|120:0.07|150:0.066|180:0.056|210:0.053|240:0.05|270:0.047|300:0.042|330:0.048|360:0.065|390:0.005
S_BUILD_ZF,rolls=27|flags=0|med_ovl=390|nonmedian=0
S_BUILD_ZT,rolls=27|flags=1|med_ovl=390|nonmedian=0
S_FLAG_ZT230831,sr=-0.0614|gap=0.4312|thr=0.05|mad=0.0|ratio=0.14|gapshaped=0|why=sign_mismatch
