roll,shock_bps
2019-08-30,-15.2
2019-11-29,21.7
2020-02-28,46.7
2020-05-29,6.3
2020-08-31,20.0
2020-11-30,53.2
2021-02-26,46.5
2021-05-28,24.3
2021-08-31,7.2
2021-11-30,14.2
2022-02-28,-24.4
2022-05-31,-6.5
2022-08-31,-3.2
2022-11-30,9.0
2023-02-28,-5.7
2023-05-31,-16.4
2023-08-31,4.6
2023-11-30,16.3
2024-02-29,-10.2
2024-05-31,6.1
2024-08-30,2.6
2024-11-29,5.6
2025-02-28,13.9
2025-05-30,7.3
2025-08-29,13.0
2025-11-28,13.3
2026-02-27,11.2
