window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
H,S-HALF,S2,1.5,30,0.012,0.049,3.99,0.489,31743.0
H,S-HALF,S2,1.5,60,0.015,0.088,4.52,0.495,29436.0
H,S-HALF,S2,1.5,120,0.011,0.123,4.42,0.493,24852.0
H,S-HALF,S2,2.0,5,0.02,0.031,4.5,0.463,19426.0
H,S-HALF,S2,2.0,15,0.019,0.038,3.28,0.49,19039.0
H,S-HALF,S2,2.0,30,0.014,0.06,3.59,0.496,18404.0
H,S-HALF,S2,2.0,60,0.0,0.088,3.46,0.49,17399.0
H,S-HALF,S2,2.0,120,-0.017,0.148,4.67,0.49,15256.0
H,S-HALF,S2,2.5,5,0.018,0.041,4.84,0.465,9875.0
H,S-HALF,S2,2.5,15,0.02,0.073,5.64,0.498,9719.0
H,S-HALF,S2,2.5,30,0.016,0.101,5.53,0.504,9489.0
H,S-HALF,S2,2.5,60,0.005,0.128,4.74,0.498,9157.0
H,S-HALF,S2,2.5,120,-0.019,0.172,4.72,0.483,8361.0
H,S-HALF,S2,3.0,5,0.021,0.061,5.01,0.471,4445.0
H,S-HALF,S2,3.0,15,0.021,0.1,5.4,0.495,4396.0
H,S-HALF,S2,3.0,30,0.018,0.131,5.26,0.513,4335.0
H,S-HALF,S2,3.0,60,0.017,0.176,5.23,0.512,4254.0
H,S-HALF,S2,3.0,120,0.011,0.199,4.18,0.489,4010.0
H,S-HALF,S3,1.5,5,0.01,0.02,3.22,0.443,25043.0
H,S-HALF,S3,1.5,15,0.007,0.038,3.55,0.466,24419.0
H,S-HALF,S3,1.5,30,0.004,0.042,2.6,0.478,23504.0
H,S-HALF,S3,1.5,60,-0.014,0.052,2.01,0.48,21998.0
H,S-HALF,S3,1.5,120,0.004,0.146,3.85,0.492,19056.0
H,S-HALF,S3,2.0,5,0.02,0.038,5.11,0.456,16160.0
H,S-HALF,S3,2.0,15,0.022,0.066,5.14,0.476,15877.0
H,S-HALF,S3,2.0,30,0.019,0.092,4.8,0.48,15466.0
H,S-HALF,S3,2.0,60,0.021,0.151,5.34,0.482,14827.0
H,S-HALF,S3,2.0,120,0.01,0.254,6.81,0.481,13427.0
H,S-HALF,S3,2.5,5,0.023,0.065,6.14,0.463,8852.0
H,S-HALF,S3,2.5,15,0.028,0.108,6.62,0.494,8773.0
H,S-HALF,S3,2.5,30,0.027,0.153,6.58,0.501,8635.0
H,S-HALF,S3,2.5,60,0.023,0.235,7.22,0.496,8441.0
H,S-HALF,S3,2.5,120,0.035,0.315,6.93,0.493,7930.0
H,S-HALF,S3,3.0,5,0.012,0.057,4.17,0.454,4677.0
H,S-HALF,S3,3.0,15,0.026,0.116,5.23,0.479,4653.0
H,S-HALF,S3,3.0,30,-0.009,0.157,5.15,0.485,4609.0
H,S-HALF,S3,3.0,60,-0.005,0.235,5.6,0.482,4550.0
H,S-HALF,S3,3.0,120,-0.026,0.274,5.03,0.482,4369.0
R,S-RTH,S1,1.5,5,0.014,0.022,5.26,0.448,30641.0
R,S-RTH,S1,1.5,15,0.02,0.033,4.22,0.482,29737.0
R,S-RTH,S1,1.5,30,0.019,0.037,3.15,0.49,28630.0
R,S-RTH,S1,1.5,60,0.018,0.061,3.22,0.492,26610.0
R,S-RTH,S1,1.5,120,0.004,0.1,3.54,0.492,22598.0
R,S-RTH,S1,2.0,5,0.015,0.029,4.6,0.456,19094.0
R,S-RTH,S1,2.0,15,0.016,0.051,5.02,0.482,18710.0
R,S-RTH,S1,2.0,30,0.007,0.058,3.83,0.487,18223.0
R,S-RTH,S1,2.0,60,-0.007,0.087,3.76,0.487,17203.0
R,S-RTH,S1,2.0,120,-0.027,0.146,4.62,0.482,15346.0
R,S-RTH,S1,2.5,5,0.013,0.044,5.16,0.459,9747.0
R,S-RTH,S1,2.5,15,0.006,0.064,4.52,0.48,9608.0
R,S-RTH,S1,2.5,30,-0.006,0.089,4.57,0.489,9445.0
R,S-RTH,S1,2.5,60,-0.036,0.126,4.63,0.484,9059.0
R,S-RTH,S1,2.5,120,-0.066,0.139,3.88,0.474,8321.0
R,S-RTH,S1,3.0,5,0.013,0.059,5.27,0.465,4849.0
R,S-RTH,S1,3.0,15,0.01,0.095,5.14,0.483,4820.0
R,S-RTH,S1,3.0,30,-0.008,0.123,4.94,0.491,4789.0
R,S-RTH,S1,3.0,60,-0.023,0.155,4.63,0.487,4668.0
R,S-RTH,S1,3.0,120,-0.07,0.129,2.97,0.471,4358.0
R,S-RTH,S2,1.5,5,0.009,0.003,0.48,0.445,33924.0
R,S-RTH,S2,1.5,15,0.014,0.016,1.8,0.478,32925.0
R,S-RTH,S2,1.5,30,0.006,0.007,0.52,0.487,31737.0
R,S-RTH,S2,1.5,60,0.001,0.043,2.04,0.489,29279.0
R,S-RTH,S2,1.5,120,0.003,0.091,3.11,0.492,24859.0
R,S-RTH,S2,2.0,5,0.02,0.028,3.69,0.464,19760.0
R,S-RTH,S2,2.0,15,0.022,0.044,3.74,0.492,19326.0
R,S-RTH,S2,2.0,30,0.016,0.055,3.23,0.503,18752.0
R,S-RTH,S2,2.0,60,0.01,0.109,4.61,0.5,17615.0
R,S-RTH,S2,2.0,120,-0.009,0.155,4.99,0.493,15507.0
R,S-RTH,S2,2.5,5,0.016,0.046,4.82,0.462,9932.0
R,S-RTH,S2,2.5,15,0.021,0.083,5.42,0.495,9788.0
R,S-RTH,S2,2.5,30,0.01,0.106,4.4,0.496,9622.0
R,S-RTH,S2,2.5,60,0.006,0.16,5.16,0.504,9201.0
R,S-RTH,S2,2.5,120,0.005,0.162,4.17,0.489,8383.0
R,S-RTH,S2,3.0,5,0.009,0.049,4.18,0.465,4568.0
R,S-RTH,S2,3.0,15,0.026,0.101,5.1,0.509,4541.0
R,S-RTH,S2,3.0,30,0.02,0.136,5.07,0.511,4483.0
R,S-RTH,S2,3.0,60,0.02,0.185,5.54,0.523,4364.0
R,S-RTH,S2,3.0,120,0.031,0.2,4.43,0.503,4073.0
R,S-RTH,S3,1.5,5,0.016,0.025,4.19,0.45,25161.0
R,S-RTH,S3,1.5,15,0.011,0.033,3.26,0.469,24490.0
R,S-RTH,S3,1.5,30,0.024,0.062,3.73,0.484,23696.0
R,S-RTH,S3,1.5,60,0.012,0.082,3.08,0.485,22113.0
R,S-RTH,S3,1.5,120,0.009,0.16,4.06,0.488,19176.0
R,S-RTH,S3,2.0,5,0.019,0.036,4.63,0.458,15831.0
R,S-RTH,S3,2.0,15,0.034,0.064,4.61,0.49,15533.0
R,S-RTH,S3,2.0,30,0.029,0.088,4.14,0.49,15192.0
R,S-RTH,S3,2.0,60,0.027,0.164,5.35,0.492,14513.0
R,S-RTH,S3,2.0,120,0.034,0.276,6.82,0.492,13207.0
R,S-RTH,S3,2.5,5,0.016,0.063,6.1,0.461,8730.0
R,S-RTH,S3,2.5,15,0.026,0.111,6.08,0.487,8644.0
R,S-RTH,S3,2.5,30,0.032,0.161,5.93,0.505,8522.0
R,S-RTH,S3,2.5,60,0.031,0.258,7.01,0.501,8277.0
R,S-RTH,S3,2.5,120,0.071,0.349,7.42,0.507,7761.0
R,S-RTH,S3,3.0,5,0.027,0.074,4.93,0.466,4474.0
R,S-RTH,S3,3.0,15,0.03,0.133,5.26,0.492,4453.0
