signal,signal_label,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
1,z1_session_anchored,S1,3.0,60,-0.002,0.11,2.56,0.508,3434.0
1,z1_session_anchored,S1,3.0,120,-0.051,0.163,2.63,0.505,2754.0
1,z1_session_anchored,S2,1.5,5,0.031,0.032,7.99,0.452,62097.0
1,z1_session_anchored,S2,1.5,15,0.037,0.029,3.65,0.481,60687.0
1,z1_session_anchored,S2,1.5,30,0.042,0.034,2.73,0.498,58552.0
1,z1_session_anchored,S2,1.5,60,0.049,0.055,2.69,0.505,54215.0
1,z1_session_anchored,S2,1.5,120,0.017,0.065,2.02,0.504,44581.0
1,z1_session_anchored,S2,2.0,5,0.052,0.055,9.34,0.465,31814.0
1,z1_session_anchored,S2,2.0,15,0.068,0.076,7.64,0.498,31017.0
1,z1_session_anchored,S2,2.0,30,0.085,0.105,6.55,0.512,29899.0
1,z1_session_anchored,S2,2.0,60,0.087,0.131,5.36,0.517,27606.0
1,z1_session_anchored,S2,2.0,120,0.055,0.131,3.54,0.518,22617.0
1,z1_session_anchored,S2,2.5,5,0.056,0.083,7.97,0.469,12111.0
1,z1_session_anchored,S2,2.5,15,0.075,0.114,7.45,0.505,11836.0
1,z1_session_anchored,S2,2.5,30,0.093,0.153,7.18,0.523,11404.0
1,z1_session_anchored,S2,2.5,60,0.091,0.195,6.47,0.523,10462.0
1,z1_session_anchored,S2,2.5,120,0.035,0.18,3.99,0.526,8529.0
1,z1_session_anchored,S2,3.0,5,0.046,0.083,4.69,0.479,3567.0
1,z1_session_anchored,S2,3.0,15,0.065,0.111,4.59,0.504,3489.0
1,z1_session_anchored,S2,3.0,30,0.066,0.149,4.76,0.526,3369.0
1,z1_session_anchored,S2,3.0,60,0.062,0.128,2.88,0.511,3096.0
1,z1_session_anchored,S2,3.0,120,0.006,0.15,2.35,0.513,2505.0
1,z1_session_anchored,S3,1.5,5,0.04,0.04,8.26,0.455,60487.0
1,z1_session_anchored,S3,1.5,15,0.048,0.042,4.67,0.485,59097.0
1,z1_session_anchored,S3,1.5,30,0.048,0.046,3.3,0.496,56951.0
1,z1_session_anchored,S3,1.5,60,0.043,0.071,3.28,0.501,52666.0
1,z1_session_anchored,S3,1.5,120,0.019,0.113,3.45,0.496,43278.0
1,z1_session_anchored,S3,2.0,5,0.052,0.059,8.62,0.463,30215.0
1,z1_session_anchored,S3,2.0,15,0.062,0.075,6.38,0.492,29498.0
1,z1_session_anchored,S3,2.0,30,0.058,0.077,4.25,0.499,28415.0
1,z1_session_anchored,S3,2.0,60,0.05,0.107,4.0,0.505,26182.0
1,z1_session_anchored,S3,2.0,120,0.011,0.16,4.26,0.494,21562.0
