window,window_name,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events,label
S,S-SETTLE,2.5,60,0.018,-0.048,-0.76,0.5,1437.0,EXPLORATORY_open_subset
S,S-SETTLE,2.5,120,0.041,-0.082,-0.97,0.518,1435.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,5,0.006,0.021,0.82,0.486,1208.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,15,-0.018,0.027,0.62,0.479,1208.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,30,-0.043,0.036,0.62,0.49,1208.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,60,-0.109,-0.034,-0.45,0.473,1208.0,EXPLORATORY_open_subset
S,S-SETTLE,3.0,120,-0.111,-0.044,-0.45,0.5,1207.0,EXPLORATORY_open_subset
H,S-HALF,1.5,5,-0.001,-0.011,-0.63,0.463,2410.0,EXPLORATORY_open_subset
H,S-HALF,1.5,15,-0.027,-0.04,-1.52,0.473,2410.0,EXPLORATORY_open_subset
H,S-HALF,1.5,30,-0.048,-0.058,-1.66,0.464,2410.0,EXPLORATORY_open_subset
H,S-HALF,1.5,60,-0.095,-0.121,-2.49,0.45,2408.0,EXPLORATORY_open_subset
H,S-HALF,1.5,120,-0.065,-0.114,-1.75,0.472,2407.0,EXPLORATORY_open_subset
H,S-HALF,2.0,5,0.009,-0.003,-0.16,0.475,2358.0,EXPLORATORY_open_subset
H,S-HALF,2.0,15,-0.005,-0.035,-1.31,0.479,2358.0,EXPLORATORY_open_subset
H,S-HALF,2.0,30,-0.032,-0.059,-1.7,0.475,2358.0,EXPLORATORY_open_subset
H,S-HALF,2.0,60,-0.074,-0.121,-2.48,0.481,2354.0,EXPLORATORY_open_subset
H,S-HALF,2.0,120,-0.059,-0.111,-1.66,0.47,2353.0,EXPLORATORY_open_subset
H,S-HALF,2.5,5,0.004,0.006,0.29,0.468,2199.0,EXPLORATORY_open_subset
H,S-HALF,2.5,15,-0.01,-0.016,-0.58,0.487,2199.0,EXPLORATORY_open_subset
H,S-HALF,2.5,30,-0.045,-0.03,-0.79,0.474,2199.0,EXPLORATORY_open_subset
H,S-HALF,2.5,60,-0.103,-0.063,-1.18,0.467,2198.0,EXPLORATORY_open_subset
H,S-HALF,2.5,120,-0.152,-0.075,-1.03,0.461,2195.0,EXPLORATORY_open_subset
H,S-HALF,3.0,5,0.007,0.034,1.6,0.469,1899.0,EXPLORATORY_open_subset
H,S-HALF,3.0,15,0.001,0.029,0.98,0.494,1899.0,EXPLORATORY_open_subset
H,S-HALF,3.0,30,0.028,0.065,1.62,0.498,1899.0,EXPLORATORY_open_subset
H,S-HALF,3.0,60,-0.011,0.021,0.37,0.489,1899.0,EXPLORATORY_open_subset
H,S-HALF,3.0,120,-0.019,0.037,0.47,0.478,1897.0,EXPLORATORY_open_subset
U,S-USED,1.5,5,-0.006,-0.014,-0.9,0.449,2322.0,EXPLORATORY_open_subset
U,S-USED,1.5,15,-0.034,-0.061,-2.45,0.459,2322.0,EXPLORATORY_open_subset
U,S-USED,1.5,30,-0.041,-0.071,-2.24,0.472,2322.0,EXPLORATORY_open_subset
U,S-USED,1.5,60,-0.04,-0.079,-1.71,0.475,2320.0,EXPLORATORY_open_subset
U,S-USED,1.5,120,-0.075,-0.123,-2.08,0.481,2320.0,EXPLORATORY_open_subset
U,S-USED,2.0,5,-0.009,-0.012,-0.76,0.447,2297.0,EXPLORATORY_open_subset
U,S-USED,2.0,15,-0.048,-0.06,-2.48,0.465,2297.0,EXPLORATORY_open_subset
U,S-USED,2.0,30,-0.048,-0.07,-2.2,0.476,2297.0,EXPLORATORY_open_subset
U,S-USED,2.0,60,-0.064,-0.088,-1.87,0.465,2295.0,EXPLORATORY_open_subset
U,S-USED,2.0,120,-0.119,-0.125,-2.09,0.462,2295.0,EXPLORATORY_open_subset
U,S-USED,2.5,5,-0.026,-0.018,-1.16,0.431,2209.0,EXPLORATORY_open_subset
U,S-USED,2.5,15,-0.042,-0.054,-2.24,0.466,2209.0,EXPLORATORY_open_subset
U,S-USED,2.5,30,-0.068,-0.086,-2.52,0.463,2202.0,EXPLORATORY_open_subset
U,S-USED,2.5,60,-0.07,-0.093,-1.9,0.475,2199.0,EXPLORATORY_open_subset
U,S-USED,2.5,120,-0.142,-0.162,-2.6,0.466,2199.0,EXPLORATORY_open_subset
U,S-USED,3.0,5,-0.008,0.007,0.41,0.45,2011.0,EXPLORATORY_open_subset
U,S-USED,3.0,15,-0.012,0.011,0.41,0.464,2011.0,EXPLORATORY_open_subset
U,S-USED,3.0,30,-0.064,-0.033,-0.87,0.46,2010.0,EXPLORATORY_open_subset
U,S-USED,3.0,60,-0.101,-0.041,-0.76,0.445,2007.0,EXPLORATORY_open_subset
U,S-USED,3.0,120,-0.165,-0.078,-1.13,0.443,2007.0,EXPLORATORY_open_subset
